"geneset","in_path","out_path","in_back","out_back","foldx","pvalue","bonferroni_pvalue","bh_pvalue","desc","link"
"BIOCARTA_ACE2_PATHWAY","3","726","0","2428","Inf","0.0122738942876234","16.2015404596629","0.0903804942997723","Angiotensin-converting enzyme 2 regulates heart function","http://www.biocarta.com/pathfiles/h_ace2Pathway.asp"
"BIOCARTA_ACTINY_PATHWAY","2","727","11","2417","0.605561790746976","0.839073970773393","1107.57764142088","0.99999999817699","Y branching of actin filaments","http://www.biocarta.com/pathfiles/h_actinYPathway.asp"
"BIOCARTA_AGPCR_PATHWAY","3","726","5","2423","1.99835390946502","0.274475856798608","362.308130974162","0.871864486301461","Attenuation of GPCR Signaling","http://www.biocarta.com/pathfiles/h_agpcrPathway.asp"
"BIOCARTA_AGR_PATHWAY","4","725","16","2412","0.832647462277092","0.712544575509152","940.558839672081","0.99999999817699","Agrin in Postsynaptic Differentiation","http://www.biocarta.com/pathfiles/h_agrPathway.asp"
"BIOCARTA_AHSP_PATHWAY","3","726","4","2424","2.49794238683128","0.20485738891535","270.411753368263","0.779035140945697","Hemoglobin's Chaperone","http://www.biocarta.com/pathfiles/h_ahspPathway.asp"
"BIOCARTA_AKAP13_PATHWAY","1","728","6","2422","0.555098308184728","0.84116362940214","1110.33599081082","0.99999999817699","Rho-Selective Guanine Exchange Factor AKAP13 Mediates Stress Fiber Formation","http://www.biocarta.com/pathfiles/h_akap13Pathway.asp"
"BIOCARTA_AKAP95_PATHWAY","1","728","7","2421","0.475798549872624","0.877922903740502","1158.85823293746","0.99999999817699","AKAP95 role in mitosis and chromosome dynamics","http://www.biocarta.com/pathfiles/h_akap95Pathway.asp"
"BIOCARTA_AKAPCENTROSOME_PATHWAY","1","728","8","2420","0.416323731138546","0.90618400350969","1196.16288463279","0.99999999817699","Protein Kinase A at the Centrosome","http://www.biocarta.com/pathfiles/h_akapCentrosomePathway.asp"
"BIOCARTA_AMI_PATHWAY","9","720","0","2428","Inf","1.79681285234068e-06","0.0023717929650897","4.158338315417e-05","Acute Myocardial Infarction","http://www.biocarta.com/pathfiles/h_amiPathway.asp"
"BIOCARTA_ARENRF2_PATHWAY","1","728","2","2426","1.66529492455418","0.545223185560201","719.694604939466","0.99999999817699","Oxidative Stress Induced Gene Expression Via Nrf2","http://www.biocarta.com/pathfiles/h_arenrf2Pathway.asp"
"BIOCARTA_ASBCELL_PATHWAY","2","727","0","2428","Inf","0.0532656622798513","70.3106742094037","0.283360346645452","Antigen Dependent B Cell Activation","http://www.biocarta.com/pathfiles/h_asbcellPathway.asp"
