id,PID_00121,PID_00174,PID_00018,PID_00138,PID_00068,PID_00008,PID_00002,PID_00152,PID_00019,PID_00071,PID_00133,PID_00163,PID_00044,PID_00111,PID_00123,PID_00108,PID_00168,PID_00059,PID_00129,PID_00050,PID_00051,PID_00149,PID_00026,PID_00042,PID_00066,PID_00012,PID_00153,PID_00144,PID_00172,PID_00017,PID_00162,PID_00032,PID_00095,PID_00104,PID_00097,PID_00173,PID_00021,PID_00041,PID_00124,PID_00078,PID_00022,PID_00131,PID_00103,PID_00118,PID_00014,PID_00100,PID_00132,PID_00029,PID_00037,PID_00043,PID_00063,PID_00052,PID_00070,PID_00158,PID_00134,PID_00074,PID_00089,PID_00128,PID_00143,PID_00082,PID_00171,PID_00115,PID_00106,PID_00114,PID_00048,PID_00102,PID_00112,PID_00035,PID_00056,PID_00036,PID_00077,PID_00064,PID_00126,PID_00034,PID_00142,PID_00136,PID_00159,PID_00105,PID_00125,PID_00013,PID_00033,PID_00073,PID_00085,PID_00069,PID_00130,PID_00139,PID_00122,PID_00127,PID_00170,PID_00146,PID_00072,PID_00096,PID_00079,PID_00062,PID_00091,PID_00169,PID_00099,PID_00027,PID_00120,PID_00030,PID_00161,PID_00005,PID_00093,PID_00076,PID_00058,PID_00016,PID_00003,PID_00054,PID_00160,PID_00155,PID_00006,PID_00154,PID_00024,PID_00067,PID_00141,PID_00156,PID_00001,PID_00094,PID_00040,PID_00101,PID_00157,PID_00028,PID_00025,PID_00053,PID_00011,PID_00046,PID_00086,PID_00145,PID_00140,PID_00165,PID_00167,PID_00084,PID_00137,PID_00004,PID_00117,PID_00164,PID_00031,PID_00015,PID_00087,PID_00065,PID_00113,PID_00116,PID_00090,PID_00110,PID_00151,PID_00039,PID_00148,PID_00045,PID_00057,PID_00081,PID_00038,PID_00083,PID_00109,PID_00147,PID_00060,PID_00088,PID_00080,PID_00098,PID_00150,PID_00055,PID_00119,PID_00009,PID_00007,PID_00075,PID_00047,PID_00061,PID_00135,PID_00020,PID_00049,PID_00092,PID_00166,PID_00023,PID_00107,PID_00010
NP_004068,0.081017224,-0.48112394,0.17148227,1.029274796,0.974543562,1.158397099,1.5,0.178390181,1.5,0.534595752,-0.197267648,0.583007325,1.5,1.108066723,1.5,0.319319745,0.00106386,0.241331712,1.115701124,0.134327969,0.486884014,0.770893515,0.072965569,0.14788296,-0.711471677,-0.848962595,-0.398038478,-1.5,0.368227964,-0.554209351,0.359483023,1.5,1.5,-0.546627868,1.5,0.082206452,1.272647558,-0.550646141,0.182640632,-0.30309058,-0.657409338,-0.733166212,-1.5,1.420884895,-1.5,-0.45950752,-1.048232626,1.166908344,-0.870669926,0.177282277,0.615488,-1.19127821,-1.269138676,-0.576777788,-0.328546852,-0.584843046,1.250883724,-0.251671229,-0.547115496,0.94360226,-1.239675776,-1.032135154,0.955083981,0.609238709,0.930262891,-1.168111865,-0.72258875,1.135875355,0.334871545,-0.537077153,0.184101925,1.5,0.831176344,-0.745491608,-1.014345913,0.665266983,0.191658272,-1.191944209,1.040404513,-1.5,-1.028823353,-0.323553838,0.081232742,-0.667181337,-0.046935716,-0.327227794,0.628422878,-0.346823459,0.723069296,1.043266974,-0.256646979,-0.599828011,-0.109565945,-0.178828688,0.954868621,1.297647384,1.032723165,-0.064825308,-1.262097671,-0.355442823,0.954126065,1.5,0.841608086,1.5,1.5,0.469151378,0.730005819,-0.88871988,-0.814582646,-1.5,0.619502306,0.392358161,-1.5,-1.26660314,1.5,-0.475223775,-0.495193627,0.566537259,-0.788359287,1.278089672,-0.692007923,-0.514998836,-0.422455288,-1.152392881,0.554175781,1.132494325,0.908170346,-1.5,0.314583444,-0.807627262,-0.780148194,-1.12626421,0.322696529,-0.373950968,0.779218204,-0.936018545,0.393005336,0.471385897,0.483195685,0.225657221,-0.277339002,-0.289430167,-1.5,-0.744048783,-1.127417029,0.271673434,-0.65815487,-0.548064183,-1.052444271,-0.168563242,-0.677183309,-0.017052093,-1.115327919,-0.400545792,-0.731502212,-0.694932934,0.124188139,-0.701357516,-0.919380033,-1.044460363,0.811901571,-0.720055616,-0.157578344,0.000961168,-1.017009461,-0.902903423,0.007125294,0.061543434,0.027999834,0.003529682,-0.807161912,-1.217207994,-0.637791584,-0.20518548
NP_005717,-0.572043179,-0.555441923,0.726880838,0.673126922,0.433186143,1.10465513,1.5,1.337676614,1.5,1.259458681,0.744375508,-0.224471608,1.018934891,0.68950146,-0.22531224,1.5,0.268222984,0.248475365,1.5,0.161419263,0.253102901,0.33234416,0.698169917,0.694682545,0.503049484,-0.901371227,-1.081944801,-1.5,-0.154847272,-0.001800927,0.298600074,-0.828320923,1.5,-0.516991992,1.5,0.394552703,1.5,0.714321915,0.493188952,-0.788350049,0.170428109,-1.5,-1.496145842,0.522594017,-0.727547519,-0.19818868,-0.532069893,0.512858693,1.5,0.714748581,0.609924646,-0.246191901,0.200574769,0.854714402,1.020645749,-0.183828933,1.5,0.228995197,-0.071197799,1.5,-0.783286342,0.092521037,0.442055179,0.575373904,0.139746103,-1.135690899,-0.902548842,1.5,0.214096634,0.777284458,-0.603212865,1.425754061,0.799325086,0.006346168,0.919350365,0.272765417,0.346601995,-1.5,-1.020281813,-1.5,-1.5,0.059185153,-1.5,-0.418261109,-0.618553237,-1.449135871,0.21338808,0.326380609,0.402968995,-0.04520561,-0.336603556,-0.240095492,-0.32848128,-0.447363901,-0.539882365,0.405357989,0.159715413,-0.559862466,0.448964711,0.817457083,1.2440885,1.060713711,1.5,1.5,-1.5,-0.655995459,1.5,-0.505549571,0.275166649,-0.553100924,-0.06937221,0.022647612,-0.643185849,0.089408109,0.366832416,-0.762058601,-0.362910523,-0.253535598,-0.967522295,0.681782654,-1.376161184,0.198491193,0.38281023,-0.187610523,0.76788708,0.065976514,0.894818596,-0.901243495,-0.170301316,-0.907617568,-0.392205012,-1.5,1.086316115,-0.19677625,-0.704633588,-1.5,0.243639877,0.836473008,0.54251904,1.5,-0.55029617,-0.585761646,-0.404774555,-0.979367022,-1.209136701,-0.448062021,-1.5,-0.78199689,-0.887261473,-1.5,-0.594113134,-0.530182102,-1.484895215,-0.332947015,-0.786731642,-0.449594188,0.178560308,-0.294780933,-0.354189494,-1.131956926,-0.023739072,-0.976253772,-1.409794214,-0.465822142,-0.677171308,-0.211168136,0.863182468,0.062422417,-0.142749763,-0.787378133,-1.123086234,-0.626620297,-1.264396809,-0.847299228
NP_001139730,-0.20512824,-0.73193839,1.00029989,0.56256434,1.05482352,1.22898431,-1.32596922,-0.93881524,1.5,1.5,-0.07949985,-0.24756227,-0.57125489,1.5,-0.31233382,0.12466655,-1.31880597,0.18691863,1.5,1.02600706,-1.17963272,0.39338908,-0.02392661,0.01283481,-0.51321826,-1.21688405,-0.84628021,-0.72384019,1.32324055,-0.59457699,-1.29961475,0.05134865,1.23165576,1.5,-0.87995642,-0.96556979,-0.04886251,0.40428176,-0.03763337,-1.08504617,-1.14972111,-0.99756418,1.13882055,1.24705345,-0.37613122,0.35257578,1.08815363,0.9144021,1.1296377,1.02330126,1.5,-0.50303643,0.39177917,0.17562751,-0.21124204,0.26870889,0.15313854,0.94003115,1.5,1.5,0.39172286,1.07659488,-0.44611365,0.5127899,1.25813999,-1.49852806,-0.85945019,0.46298291,-0.91532888,-0.39554779,0.59174897,1.5,0.92976459,-0.81750751,-0.34389437,-0.16521872,-0.52125141,-1.36632944,-0.359455,-1.44833874,-0.08366311,-0.70993644,-1.5,-0.61911625,0.08344355,-0.20389863,1.5,1.22602333,1.5,1.19076524,-1.13544002,1.49837229,0.28542729,-0.38139561,0.20447524,0.27842476,-0.09874991,-1.5,-0.48144981,-0.81408464,-0.4414778,0.68493188,0.39886885,1.08182946,-1.5,0.97593478,0.98287295,0.1031802,-0.29299826,-1.37439751,-0.02412418,-0.23514115,-0.08763683,-1.29792874,-0.48959794,1.5,-0.04777825,1.11097887,-0.09843505,0.98601279,-0.38715576,-1.5,-0.13980841,-0.43131492,0.5191911,-0.14597291,0.42635586,-0.75889941,-0.38198216,-0.33299304,-0.27073652,-0.72304658,1.06818075,-0.79975902,-0.82242064,-1.47336882,-0.15394438,0.29015308,-0.78772129,0.09623851,-0.26750591,-1.12160218,-1.5,0.28347093,-0.95186956,-0.58293106,0.0967888,1.5,-0.8312206,-1.5,-0.38071341,-0.65862366,-1.39529897,-0.31204257,-0.13206065,0.40346663,-0.668578,-0.51168651,-0.68249947,-0.56846557,-0.40727333,-0.08839825,-0.15753265,0.10030608,-0.63567027,-0.68269557,0.81047888,0.3769607,-0.35951587,0.3339742,0.14570864,-0.9062525,-0.20144486,-0.88816513
NP_001035526,-1.466290961,0.159668526,0.767509246,-0.173556758,0.274281734,-1.100294814,0.250259377,1.5,0.694135412,-0.707405275,-1.5,-0.640108818,0.787000332,0.730459425,1.046234535,0.189341938,-0.944238576,0.186899179,0.251646762,-0.756125197,0.380876098,-0.278104369,0.610912286,0.431408842,-0.577214492,-1.156261473,0.418980563,-0.153249096,-0.365243766,-0.862612045,-0.117706373,0.158138832,0.936547574,0.420247316,0.276954537,-0.388337739,0.587386101,0.817190086,-0.17730064,-1.5,-1.5,0.815942359,-1.127539598,0.640014677,-0.872467914,-0.785627413,0.589903051,1.5,0.348298067,1.5,1.5,1.170870926,-0.474680673,-0.494697414,0.926346441,0.988077249,1.5,-0.326738782,1.224427844,0.665008959,0.636971097,0.17994701,0.241899303,-0.290776671,1.5,-0.525907783,-0.588108325,0.51371492,-0.075008765,-0.174075411,0.605014459,1.099692983,0.047406199,-1.12143342,0.660576746,-0.475977788,-1.5,-1.392768693,-0.681688953,-0.80631789,0.250074224,-1.066796568,-1.262468563,1.5,-0.540871361,-0.327373803,-1.5,1.14189043,1.5,-0.080357818,-0.931581769,-0.287932735,-1.141449562,-1.439011144,-0.696673413,1.299055115,0.518201089,1.427814514,0.403821516,-0.330625812,1.5,1.5,1.5,0.729450008,0.374873736,0.01656702,1.5,-0.248247978,1.5,-0.281909991,0.218309792,0.099880058,-1.38154102,-0.721327099,0.740331153,-0.109267817,0.431262787,-0.38105453,-0.834240454,-0.065800905,0.447799732,-1.5,-0.610788907,-0.775727437,1.5,-0.16947365,1.404496103,-0.716161624,-0.067703391,0.642442619,0.694603198,-1.5,0.701884836,0.547770282,-0.373644281,-0.323107044,1.104003726,0.469322526,0.775827204,-1.09273893,-1.5,-0.399326983,-1.5,-0.374281077,-0.632486746,-0.352482459,-0.728914018,-1.5,0.476685324,0.942699819,0.542101699,-0.228494889,-1.5,-0.943787587,-0.511235192,0.750480686,0.974020055,0.265913954,0.005686888,-1.5,1.163010369,0.119682586,-1.107044949,-0.86079409,-1.039933005,-0.367006136,1.266747036,0.959532749,-0.513909706,-0.711311788,-0.853106058,-0.370472275,-0.399426697,-0.631602006
NP_079426,0.64491939,0.9970607,-0.20969094,0.05703623,0.79059197,-0.1642298,0.01734218,1.18182478,1.5,-0.43766149,-0.82500824,-1.5,-0.15973033,0.38900269,0.71725338,-0.51432857,-0.8182402,1.5,0.43676946,1.49478068,-0.56941118,0.75504709,0.27237669,-0.72623845,0.46564081,-0.47517033,0.4686815,-0.59743147,-0.70283989,0.05170235,0.57280737,-1.5,1.20847153,-1.24103968,1.1172467,-1.5,1.5,0.46236401,-1.5,-1.5,0.29030124,0.31842036,0.19127036,1.01949968,0.19534432,0.31541592,-0.0879442,0.75026523,1.5,1.01468231,0.86856153,1.16039318,-0.13339605,-0.20325931,1.26747083,1.2366113,1.33532825,-0.73654523,-0.46666473,0.49149266,1.45472912,-0.58815255,1.09403097,0.27075154,0.70408929,0.99028952,-0.33705547,0.04667008,0.39319421,-0.15553572,0.50080476,0.95376654,1.5,-0.34375311,0.52304558,-0.0580459,0.65104215,-1.5,-0.6414902,-1.28646739,-1.5,-1.30776371,-0.81881493,0.36167196,-0.47131479,-1.5,1.33798569,-1.02078058,0.2227305,0.44581759,-1.15905439,0.06107487,-0.30296946,-0.09646272,-0.23549585,-0.67828062,-0.8880802,0.08030823,0.30350408,-1.40151771,1.5,1.5,1.19823448,0.73443427,-0.96359549,0.51292026,0.1819567,-0.77989318,1.5,0.57565409,0.74716173,1.12301976,-1.45313814,-1.32769158,0.60103665,-0.77201411,-0.24571281,0.39792903,-0.22795299,-0.8774712,-0.50051559,-0.30256762,0.6735643,-0.34326979,0.54288827,0.72430128,-0.19176301,-0.60566308,-0.43694067,0.52414731,1.36524649,-0.56245637,-0.04425317,-0.50724468,0.36803829,-1.34887997,1.21778123,0.82217464,1.28718905,0.88310627,-0.64643862,0.14789851,-1.5,0.37987286,-0.29750237,-0.56888482,0.01001872,0.98565213,-0.94037962,1.23697467,-1.5,-0.53033446,-1.3470563,-1.360952,-0.25241265,0.47302154,-1.12749773,-0.77852475,0.67996809,-0.54451578,0.02148845,-0.6292602,-1.5,-0.92598512,0.52601372,-0.22418493,0.40409206,0.38811581,-1.41496386,-0.16784433,-0.12226089,-0.76471654,-1.39098814,-0.86676235
NP_055066,0.81613581,0.03589865,1.02789907,1.5,0.57532716,1.01662382,1.5,0.95866491,-0.61920806,0.92076554,0.551334,0.92789651,0.56309689,1.16012103,0.36119209,-0.81888673,-0.33188845,-0.63144979,0.355643,0.21004359,-0.60101437,1.11090921,1.5,-0.26957106,-0.43167249,1.27058471,0.43705545,1.5,-0.12200066,-0.8646959,0.37335761,0.49818948,1.5,-0.51026128,0.19616928,-0.07499364,-0.10194053,-0.60385964,0.44657985,-0.05677357,0.11934239,-0.26816295,-0.92376433,0.15936371,0.22227289,1.1114905,1.5,0.96973757,0.23734303,-0.11859549,1.5,0.76812115,-0.29638493,-0.14260233,-0.75460801,-0.67521834,1.20676353,-0.0543127,-0.33787146,0.64603221,0.25022397,-0.61642569,0.04470093,-0.46517932,0.26734533,1.41045226,-0.50833981,-1.13955903,-1.5,0.03330627,-0.07284445,1.5,0.72785318,0.58669365,1.13560095,0.87877601,-1.1925383,-0.93473577,-0.73868818,-0.51885901,-0.24202296,-1.31545967,-0.63408976,-0.07870984,-0.77880637,-1.07267221,1.24463687,0.7738851,0.34148656,-0.54858128,-1.5,-0.85955921,-1.2290561,-0.4833915,1.5,1.5,0.18453942,-0.50310764,1.5,-0.54330402,0.9815637,0.41303034,1.18681916,1.5,0.13234133,0.09775643,0.28294772,-0.38583363,0.61662605,-1.5,0.45912086,-1.10195408,-1.5,-1.5,-0.37386826,0.54600862,-0.02866854,-0.69602902,0.0331769,1.5,-0.6768118,-0.19054606,0.07785927,-0.99029564,0.4125591,0.259775,-0.69203813,-0.82057528,0.23018898,0.21517809,-0.96284867,0.47916898,-1.32049088,-0.67275787,0.09745456,-0.97674116,-0.1182293,0.28641538,-0.32066683,-0.70022521,1.05310375,1.5,-0.82026979,-0.44998338,-0.81611603,-1.5,-0.34613095,-0.22763467,-0.88300916,0.69029738,-1.10092015,-0.45516443,-1.02452919,-0.30433828,0.70864376,-0.27987196,-0.09398581,-1.18134899,-0.11524355,-0.63033522,-0.97074564,-0.58989216,-1.29145642,-1.5,-0.90334653,-1.39851361,0.05466963,1.08561931,-0.76360814,-0.57288907,-1.5,0.09759267,-1.4694761,-0.50650679
NP_065821,-0.17413875,0.8781752,0.46905807,-1.10578898,0.35814503,1.5,1.5,0.91920956,1.20531088,0.4579079,-0.54716685,0.84475167,0.88992442,0.0932316,0.45053308,-0.33599265,-0.67726487,1.07655857,1.5,0.69764652,-0.2953839,1.10948719,0.91008588,0.04570236,0.86152185,-0.10965659,0.45503392,1.0735845,0.86522305,0.67807082,0.31031949,1.15217471,1.20446053,-0.03803644,-1.24952275,0.58724343,-0.84651011,0.24382102,-0.07158925,0.05211154,0.89096208,0.53901613,-0.15535338,0.60553517,-0.93857053,0.55577246,0.71470133,0.34923963,-1.5,1.3234961,1.5,-0.37890018,0.74551926,-1.18052864,0.26273488,0.10004023,0.94188477,-1.14751866,0.75820362,0.2407124,0.32440237,-0.58825814,-1.03028535,-1.5,-0.0361135,0.54250394,-0.99919267,-0.34048769,-1.5,-0.47693114,0.9999614,0.86642487,1.5,0.36020745,0.76587537,0.07032278,-0.91432382,-0.12952733,-0.67262931,-1.13275423,-0.57755182,-1.43371534,-1.5,0.26885711,-1.12113834,-1.5,1.5,1.06506458,1.5,0.39399175,-1.5,0.91181993,0.34717037,1.18241487,-0.74784403,0.89099165,0.03337756,1.27739936,1.5,-0.77187522,-0.0675558,-0.69640817,0.05703081,1.40309638,0.04713071,1.17864874,-0.2697691,1.5,0.0318717,-1.5,0.4127049,-0.48567875,-0.12669397,-0.84253155,-0.54447195,-0.56898709,-0.544372,-0.71767632,1.5,0.51357124,-0.74220322,-0.22123836,-0.72401482,0.06340233,1.1185946,-0.10184101,-0.48124935,-0.99639785,0.3757189,1.1964742,-0.08000245,-0.6348965,-0.0145955,0.59979431,-0.94009269,-0.92845778,-0.24149574,0.59574227,-0.24470528,-0.30409784,0.67025859,0.61619712,-1.5,-0.58426204,1.5,-1.5,-1.5,0.27279319,-0.15681965,-0.66448125,-0.73990161,-1.21253899,-0.83405049,-0.36081424,0.64466406,-0.04260442,-1.15099361,-0.3841363,0.45010062,-1.04360098,-0.68250064,-0.2320114,0.03448414,-1.5,-1.15369296,0.64398081,-0.18353766,-1.5,-0.63698136,0.09270099,-0.09685196,-0.81874312,-1.0383545,-0.50913612
NP_683718,0.82571993,-0.79162257,0.43953708,0.70128075,0.10718498,1.39024152,1.29186201,0.63483438,-0.54564736,0.51478039,-0.57960167,-0.74439253,0.58652502,0.72192845,0.74442694,-0.84556772,0.06746255,-0.24924828,-0.90213164,0.36233602,0.33958631,0.49670244,-0.10889696,-0.2465058,1.5,-0.78368088,-0.8048683,1.5,0.37476447,0.23409605,0.88524339,1.5,1.49438764,0.15345313,0.27727947,-0.32015005,1.5,0.17926085,-0.10448231,-0.2944253,0.57959769,-0.77573521,0.68945409,-0.01404062,0.35529809,0.81311749,1.5,0.13213898,0.1033092,1.49163633,1.16284356,-0.2402204,1.5,-0.74713359,0.59011862,-0.09954794,1.00549068,-0.03425453,0.99973975,0.22102502,-0.4568339,-1.08757184,-0.34713542,0.95348499,1.5,0.63875982,-1.32790002,-0.13071176,-0.43335034,-0.86768549,-1.5,1.02030825,-0.2785552,0.33380641,1.5,0.49825193,-1.01502989,0.09810139,-0.15121107,-0.42982043,-1.5,1.11794583,-1.5,0.30087765,-0.62927683,-0.75885105,-1.5,1.04959597,0.72970813,1.0589571,-1.5,-0.79572693,-1.5,0.43071226,-0.21190012,-1.5,-0.08041068,-0.04293238,1.5,-0.61396118,1.5,0.098793,-0.11857099,1.20075135,-0.42727584,1.5,-0.28024178,-0.31484519,0.58772478,-0.51469363,0.2748085,0.05887674,-1.5,-1.00529027,-1.44982127,-0.42834978,-0.04500178,-0.55541911,-0.9663028,-0.47049347,0.62938147,-0.09361815,-0.67794274,1.06800618,0.40662235,0.28882109,0.19404573,0.15971051,-0.6854169,-0.68614455,0.30772479,-0.45605202,-1.01880978,0.55897425,1.18677024,-0.39408729,-0.44090211,-1.17319503,-0.99086056,0.62469836,-0.37058018,0.08758354,-1.5,-0.61264378,-0.63971331,-0.19981858,0.7408561,-1.00486342,-1.29999346,0.66594387,-0.78573791,-0.28213043,-0.50198805,-0.82568931,0.35489581,-1.19595814,1.5,-1.5,-1.30321458,-1.5,-0.7435383,-0.04802849,-0.08523956,0.0874605,-1.32717709,0.53388797,-0.59778951,0.7657684,-0.15813159,-0.36926366,0.19669883,0.54140381,-0.2037334,-0.1057614
NP_077284,0.25278115,1.18816935,-0.78543723,1.11659031,-0.67051897,1.5,-0.55657464,0.2642155,0.6560519,-0.82444637,-0.41797196,-1.5,0.03098146,-1.0334722,1.38522395,0.65244177,-1.5,-0.48169616,0.45726956,0.75972416,-0.71201266,-0.37606836,0.09153772,-0.50617699,0.43021959,0.22453388,0.71695867,0.94823441,-0.78755649,-0.25826745,-1.49514383,-1.05501136,-0.80594941,-0.15412105,0.36842349,-0.7291073,0.32848905,-0.38931718,-0.77188849,-0.98634321,1.5,-0.75758677,0.59517584,-0.10395325,-1.5,0.73401242,0.90603793,-0.23719107,-0.37402936,1.5,0.8367839,1.43916943,-0.08690329,-0.41701774,0.11701842,-0.36895192,0.70602902,-0.59317977,0.93838782,0.09293777,-1.11294473,-1.5,-0.01390903,-1.09615234,1.06734936,0.20921952,-0.30990709,0.6417977,-0.31148446,-0.25140388,-0.26960412,1.33634809,0.66458998,0.41291059,-0.11448968,1.03019638,-0.19629538,-0.96648528,-0.99014614,0.05587608,1.5,0.05520919,-0.20358004,0.80321561,-0.77460788,1.5,1.5,1.15539761,0.22190484,0.38695491,-1.5,0.28162386,-0.2590197,-0.0795651,-0.40764491,-1.08609772,0.61454671,0.130185,1.5,0.39748279,0.98258035,0.68722765,-0.1455833,0.35126323,0.92673897,1.5,0.67767057,0.92682484,0.37357632,-0.22710853,-0.20331686,-0.13998208,-0.41853268,-0.42925541,0.15596966,0.82836496,0.21146397,0.0736946,0.76575976,-0.30265703,0.47552969,1.5,0.78725352,1.5,-0.77846723,-1.5,-0.76732659,-0.03628762,-0.9984725,-0.0628268,0.05482449,-0.7273545,0.35610921,-0.10098908,0.09729129,-0.54590108,1.10306822,-0.44148072,0.33722713,0.14483669,0.80897366,0.64749811,-0.982885,0.53065924,-0.26351322,0.13993996,1.0687399,-0.74945582,-0.36002815,-0.33975394,-0.28463396,-1.18852894,-0.58078759,-0.26388372,-0.80133471,-0.29326095,-0.09616313,-0.54482726,-0.10676032,-1.5,-1.5,-0.52399185,0.75166126,-0.1909918,-0.13722183,-0.56335652,0.48893823,0.71545551,-0.50334813,-0.25943378,-0.36280048,-0.02596832,0.31132708,0.49944851
NP_001005242,-0.914038774,1.102467461,0.517674054,0.488915163,0.81830868,0.758754568,1.5,1.109663783,1.5,0.846981108,-1.100954912,-0.544035992,-0.136278935,0.320177979,0.756115642,1.428485951,1.236576077,0.037633719,1.5,-0.672170312,-0.586321315,-0.645023451,1.5,0.875967268,1.145556557,-0.631335754,-0.841745461,1.5,0.86612507,-0.413966005,0.594590417,0.631006364,-0.618180977,0.652834111,-0.453211277,-0.198473604,-0.022136275,0.777007211,1.418066668,0.384644747,-0.401790952,-0.162403922,1.5,1.5,-1.5,0.431412341,0.153939125,1.365526588,1.107367959,1.5,1.373941064,0.117528583,1.136597311,0.142447014,0.889877072,1.184617244,0.158393592,0.002270158,0.916029868,1.27978224,0.392460447,-1.305526007,-1.5,-0.176278698,1.158611599,-1.024242975,-1.213624801,-0.329953515,-0.48120881,0.424285222,-0.138540729,0.027681956,0.189148583,-1.000631504,-0.172326195,-0.633460037,-1.499566391,-0.40518573,-0.429711822,-0.890066488,-0.55996359,-1.5,-1.5,-0.327795664,-1.218523169,-1.5,-0.642088031,1.414794783,0.992577147,-0.219981698,-1.18503023,-0.460175018,-1.5,0.029502819,0.383985221,-1.247184944,-0.589740539,0.887209843,-0.345421398,0.058667075,0.408980327,0.648189712,0.86420228,-0.291199862,0.587776719,0.392793423,1.5,1.055541999,1.5,-0.522954437,0.889206516,0.77921655,1.002402626,-1.5,0.323332994,0.222994493,-0.501819259,-0.518211872,-1.234055513,-0.895470701,0.224068846,-0.91321035,-0.749884828,-1.000245306,1.5,-1.032122771,1.112541761,0.680937206,-0.696387191,1.279785743,0.660624453,0.773758262,0.597649261,0.773226218,-0.962110304,-0.904364604,-0.019663506,0.187180911,0.027466066,0.581901168,-0.607888478,0.05388795,-1.064726237,-1.434325125,0.108721391,-1.425261367,-0.802621215,-0.227522788,-1.5,-0.734259805,-1.233538281,-0.137095086,-1.091632112,-1.151881126,-0.981311242,0.036862962,-1.171636118,-0.655789021,-0.643489032,-1.159943534,-0.065618176,-0.312864928,-0.782778765,-1.5,-1.263221699,0.822533884,-0.036453282,0.280944266,-0.921384062,-0.308827859,-0.342552431,-0.111258208,0.29385321,0.53086723
